INFO:2025-03-20 16:43:42,225: Epoch [21/101], Step [360/641], Loss: 0.29640, Avd Loss: 0.67452,  Disc Loss: 1.35949, Dur Loss: 0.46936, Norm Loss: 0.41954, F0 Loss: 1.98117
INFO:2025-03-20 16:46:42,580: Epoch [21/101], Step [380/641], Loss: 0.30304, Avd Loss: 0.69973,  Disc Loss: 1.36985, Dur Loss: 0.42495, Norm Loss: 0.37064, F0 Loss: 1.93305
INFO:2025-03-20 16:49:57,585: Epoch [21/101], Step [400/641], Loss: 0.30232, Avd Loss: 0.73669,  Disc Loss: 1.38805, Dur Loss: 0.43175, Norm Loss: 0.48402, F0 Loss: 2.42439
INFO:2025-03-20 16:52:46,588: Epoch [21/101], Step [420/641], Loss: 0.30083, Avd Loss: 0.77139,  Disc Loss: 1.34090, Dur Loss: 0.50044, Norm Loss: 0.42850, F0 Loss: 2.16113
INFO:2025-03-20 16:55:37,463: Epoch [21/101], Step [440/641], Loss: 0.29830, Avd Loss: 0.75871,  Disc Loss: 1.37101, Dur Loss: 0.48112, Norm Loss: 0.37334, F0 Loss: 1.88728
INFO:2025-03-20 16:58:35,524: Epoch [21/101], Step [460/641], Loss: 0.29705, Avd Loss: 0.77834,  Disc Loss: 1.33740, Dur Loss: 0.44455, Norm Loss: 0.42280, F0 Loss: 2.20464
INFO:2025-03-20 17:01:38,567: Epoch [21/101], Step [480/641], Loss: 0.29904, Avd Loss: 0.81996,  Disc Loss: 1.28735, Dur Loss: 0.41891, Norm Loss: 0.36935, F0 Loss: 2.16106
INFO:2025-03-20 17:04:26,551: Epoch [21/101], Step [500/641], Loss: 0.30165, Avd Loss: 0.78722,  Disc Loss: 1.37330, Dur Loss: 0.45792, Norm Loss: 0.40930, F0 Loss: 2.30380
INFO:2025-03-20 17:08:36,320: Epoch [21/101], Step [520/641], Loss: 0.30096, Avd Loss: 0.85078,  Disc Loss: 1.34551, Dur Loss: 0.49970, Norm Loss: 0.35619, F0 Loss: 2.12886
INFO:2025-03-20 17:11:19,738: Epoch [21/101], Step [540/641], Loss: 0.29790, Avd Loss: 0.76215,  Disc Loss: 1.35311, Dur Loss: 0.41846, Norm Loss: 0.40530, F0 Loss: 2.04794
INFO:2025-03-20 17:14:17,660: Epoch [21/101], Step [560/641], Loss: 0.30547, Avd Loss: 0.69428,  Disc Loss: 1.33124, Dur Loss: 0.43281, Norm Loss: 0.40283, F0 Loss: 1.98274
INFO:2025-03-20 17:17:13,226: Epoch [21/101], Step [580/641], Loss: 0.30151, Avd Loss: 0.73987,  Disc Loss: 1.34364, Dur Loss: 0.49070, Norm Loss: 0.43021, F0 Loss: 2.07962
INFO:2025-03-20 17:19:39,634: Epoch [21/101], Step [600/641], Loss: 0.29868, Avd Loss: 0.59921,  Disc Loss: 1.33101, Dur Loss: 0.42911, Norm Loss: 0.39626, F0 Loss: 2.15729
INFO:2025-03-20 17:22:20,135: Epoch [21/101], Step [620/641], Loss: 0.30040, Avd Loss: 0.66293,  Disc Loss: 1.33450, Dur Loss: 0.46052, Norm Loss: 0.39062, F0 Loss: 2.12547
INFO:2025-03-20 17:25:02,805: Epoch [21/101], Step [640/641], Loss: 0.29649, Avd Loss: 0.67523,  Disc Loss: 1.33114, Dur Loss: 0.43450, Norm Loss: 0.36892, F0 Loss: 2.16390
INFO:2025-03-20 17:25:40,561: Validation loss: 0.327, 0.482
INFO:2025-03-20 17:29:32,724: Epoch [22/101], Step [20/641], Loss: 0.30087, Avd Loss: 0.73287,  Disc Loss: 1.34458, Dur Loss: 0.53888, Norm Loss: 0.44862, F0 Loss: 2.18990
INFO:2025-03-20 17:33:07,182: Epoch [22/101], Step [40/641], Loss: 0.29777, Avd Loss: 0.71873,  Disc Loss: 1.36052, Dur Loss: 0.44474, Norm Loss: 0.40396, F0 Loss: 1.96279
INFO:2025-03-20 17:37:29,696: Epoch [22/101], Step [60/641], Loss: 0.30079, Avd Loss: 0.74244,  Disc Loss: 1.34617, Dur Loss: 0.44734, Norm Loss: 0.33675, F0 Loss: 1.95312
INFO:2025-03-20 17:41:42,398: Epoch [22/101], Step [80/641], Loss: 0.29956, Avd Loss: 0.65858,  Disc Loss: 1.38557, Dur Loss: 0.45529, Norm Loss: 0.49532, F0 Loss: 2.37162
INFO:2025-03-20 17:46:05,897: Epoch [22/101], Step [100/641], Loss: 0.29881, Avd Loss: 0.70771,  Disc Loss: 1.33836, Dur Loss: 0.55078, Norm Loss: 0.43249, F0 Loss: 2.11247
INFO:2025-03-20 17:50:52,694: Epoch [22/101], Step [120/641], Loss: 0.29698, Avd Loss: 0.77991,  Disc Loss: 1.34141, Dur Loss: 0.47562, Norm Loss: 0.44152, F0 Loss: 2.19412
INFO:2025-03-20 17:55:06,286: Epoch [22/101], Step [140/641], Loss: 0.29273, Avd Loss: 0.75006,  Disc Loss: 1.35996, Dur Loss: 0.51746, Norm Loss: 0.41585, F0 Loss: 2.31918
INFO:2025-03-20 17:59:25,005: Epoch [22/101], Step [160/641], Loss: 0.29931, Avd Loss: 0.75446,  Disc Loss: 1.34753, Dur Loss: 0.44560, Norm Loss: 0.37241, F0 Loss: 1.81557
INFO:2025-03-20 18:04:13,898: Epoch [22/101], Step [180/641], Loss: 0.30344, Avd Loss: 0.71036,  Disc Loss: 1.33154, Dur Loss: 0.40477, Norm Loss: 0.40468, F0 Loss: 2.00873
INFO:2025-03-20 18:09:10,535: Epoch [22/101], Step [200/641], Loss: 0.29713, Avd Loss: 0.70466,  Disc Loss: 1.33204, Dur Loss: 0.46381, Norm Loss: 0.35462, F0 Loss: 2.17933
INFO:2025-03-20 18:14:49,870: Epoch [22/101], Step [220/641], Loss: 0.29908, Avd Loss: 0.81805,  Disc Loss: 1.36486, Dur Loss: 0.40744, Norm Loss: 0.36580, F0 Loss: 1.92972
INFO:2025-03-20 18:20:08,471: Epoch [22/101], Step [240/641], Loss: 0.30202, Avd Loss: 0.73159,  Disc Loss: 1.33438, Dur Loss: 0.48637, Norm Loss: 0.44489, F0 Loss: 2.25202
INFO:2025-03-20 18:23:28,183: Epoch [22/101], Step [260/641], Loss: 0.29193, Avd Loss: 0.82585,  Disc Loss: 1.37215, Dur Loss: 0.48364, Norm Loss: 0.41195, F0 Loss: 1.85019
INFO:2025-03-20 18:26:57,808: Epoch [22/101], Step [280/641], Loss: 0.29317, Avd Loss: 0.77885,  Disc Loss: 1.37110, Dur Loss: 0.44003, Norm Loss: 0.37171, F0 Loss: 2.07669
INFO:2025-03-20 18:30:20,497: Epoch [22/101], Step [300/641], Loss: 0.30104, Avd Loss: 0.70024,  Disc Loss: 1.37373, Dur Loss: 0.48833, Norm Loss: 0.39709, F0 Loss: 2.05755
INFO:2025-03-20 18:33:43,126: Epoch [22/101], Step [320/641], Loss: 0.30098, Avd Loss: 0.81235,  Disc Loss: 1.35927, Dur Loss: 0.57604, Norm Loss: 0.40314, F0 Loss: 2.21353
INFO:2025-03-20 18:36:48,031: Epoch [22/101], Step [340/641], Loss: 0.30220, Avd Loss: 0.75063,  Disc Loss: 1.35694, Dur Loss: 0.44135, Norm Loss: 0.39543, F0 Loss: 1.98842
INFO:2025-03-20 18:40:14,351: Epoch [22/101], Step [360/641], Loss: 0.30249, Avd Loss: 0.68494,  Disc Loss: 1.33198, Dur Loss: 0.47386, Norm Loss: 0.39730, F0 Loss: 1.87828
INFO:2025-03-20 18:43:42,633: Epoch [22/101], Step [380/641], Loss: 0.29428, Avd Loss: 0.65705,  Disc Loss: 1.35222, Dur Loss: 0.41817, Norm Loss: 0.41530, F0 Loss: 1.99008
INFO:2025-03-20 18:47:11,443: Epoch [22/101], Step [400/641], Loss: 0.30192, Avd Loss: 0.76695,  Disc Loss: 1.32733, Dur Loss: 0.47755, Norm Loss: 0.40815, F0 Loss: 2.06727
INFO:2025-03-20 18:50:31,184: Epoch [22/101], Step [420/641], Loss: 0.29407, Avd Loss: 0.69006,  Disc Loss: 1.31575, Dur Loss: 0.48846, Norm Loss: 0.41120, F0 Loss: 2.17204
INFO:2025-03-20 18:54:02,861: Epoch [22/101], Step [440/641], Loss: 0.30072, Avd Loss: 0.74621,  Disc Loss: 1.35228, Dur Loss: 0.46299, Norm Loss: 0.38962, F0 Loss: 2.08019
INFO:2025-03-20 18:57:39,666: Epoch [22/101], Step [460/641], Loss: 0.29689, Avd Loss: 0.77201,  Disc Loss: 1.33837, Dur Loss: 0.47767, Norm Loss: 0.37965, F0 Loss: 2.25869
INFO:2025-03-20 19:01:13,339: Epoch [22/101], Step [480/641], Loss: 0.29795, Avd Loss: 0.75410,  Disc Loss: 1.35575, Dur Loss: 0.43894, Norm Loss: 0.42173, F0 Loss: 2.22384
INFO:2025-03-20 19:04:44,235: Epoch [22/101], Step [500/641], Loss: 0.29216, Avd Loss: 0.74217,  Disc Loss: 1.32526, Dur Loss: 0.48472, Norm Loss: 0.47683, F0 Loss: 2.12532
INFO:2025-03-20 19:08:13,012: Epoch [22/101], Step [520/641], Loss: 0.30132, Avd Loss: 0.69469,  Disc Loss: 1.34954, Dur Loss: 0.45517, Norm Loss: 0.41288, F0 Loss: 2.10270
INFO:2025-03-20 19:11:23,889: Epoch [22/101], Step [540/641], Loss: 0.30067, Avd Loss: 0.72398,  Disc Loss: 1.32550, Dur Loss: 0.40689, Norm Loss: 0.40756, F0 Loss: 2.05641
INFO:2025-03-20 19:14:57,067: Epoch [22/101], Step [560/641], Loss: 0.30056, Avd Loss: 0.68723,  Disc Loss: 1.31373, Dur Loss: 0.43948, Norm Loss: 0.44922, F0 Loss: 2.04119
INFO:2025-03-20 19:18:21,315: Epoch [22/101], Step [580/641], Loss: 0.30034, Avd Loss: 0.73121,  Disc Loss: 1.32384, Dur Loss: 0.45213, Norm Loss: 0.34813, F0 Loss: 2.01246
